"Parent ID","Product ID","Product SKU","Product Name","Permalink","Description","Category","Tag"
"","516","K-190","Hazelnut Wafer Rolls","http://staging.kanolli.com/product/hazelnut-wafer-rolls/","<h3>Hazelnut Wafer Rolls</h3>
<hr>
<p>Packing Details<br>
1x130 gms. / can <br>
1x130 gms. x 32 / carton
</p>
<p>Wafer rolls filled with premium hazelnut spread</p>","Wafer Rolls","Hazelnut|Wafer"
"","515","K-189","Coconut Wafer Rolls","http://staging.kanolli.com/product/coconut-wafer-rolls/","<h3>Coconut Wafer Rolls</h3>
<hr>
<p>Packing Details<br>
1x130 gms. / can <br>
1x130 gms. x 32 / carton
</p>
<p>Wafer rolls filled with premium coconut spread</p>","Wafer Rolls","Coconut|Wafer"
"","514","K-188","Chocolate Wafer Rolls","http://staging.kanolli.com/product/chocolate-wafer-rolls/","<h3>Chocolate Wafer Rolls</h3>
<hr>
<p>Packing Details<br>
1x130 gms. / can <br>
1x130 gms. x 32 / carton
</p>
<p>Wafer rolls filled with premium chocolate spread</p>","Wafer Rolls","Chocolate|Wafer"
"","513","K-232","Klejah Digestive Biscuits","http://staging.kanolli.com/product/klejah-digestive-biscuits/","<h3>Klejah Digestive Biscuits</h3>
<hr>
<p>Packing Details<br>
1x140 gms. / can <br>
1x140 gms. x 32 / carton
</p>","Klejah Biscuits","Klejah"
"","512","K-059","Klejah Cinammon Biscuits","http://staging.kanolli.com/product/klejah-cinammon-biscuits/","<h3>Klejah Cinammon Biscuits</h3>
<hr>
<p>Packing Details<br>
1x140 gms. / can <br>
1x140 gms. x 32 / carton
</p>","Klejah Biscuits","Klejah"
"","511","K-060","Klejah Ginger Biscuits","http://staging.kanolli.com/product/klejah-ginger-biscuits/","<h3>Klejah Ginger Biscuits</h3>
<hr>
<p>Packing Details<br>
1x140 gms. / can <br>
1x140 gms. x 32 / carton
</p>","Klejah Biscuits","Klejah"
"","509","K-058","Klejah Cardamom Biscuits","http://staging.kanolli.com/product/klejah-cardamom-biscuits/","<h3>Klejah Cardamom Biscuits</h3>
<hr>
<p>Packing Details<br>
1x140 gms. / can <br>
1x140 gms. x 32 / carton
</p>","Klejah Biscuits","Klejah"
"","504","K-094","Klejah Burr Biscuits","http://staging.kanolli.com/product/klejah-burr-biscuits/","<h3>Klejah Burr Biscuits</h3>
<hr>
<p>Packing Details<br>
1x140 gms. / can <br>
1x140 gms. x 32 / carton
</p>","Klejah Biscuits","Klejah"
"","320","K-057","Klejah Bran Biscuits","http://staging.kanolli.com/product/klejah-bran-biscuits/","<h3>Klejah Bran Biscuits</h3>
<hr>
<p>Packing Details<br>
1x140 gms. / can <br>
1x140 gms. x 32 / carton
</p>","Klejah Biscuits","Klejah"
"","289","K-130","Heart Cone","http://staging.kanolli.com/product/heart-cone/","<h3>Heart Cone</h3>
<hr>
<p>Packing Details<br>
1x100 gms. / tube | 100 gms. <br>
1x100 gms. x 32 / carton
</p>","Ice Cream Biscuits",""
"","286","K-015","Mini Diet Cut Cones","http://staging.kanolli.com/product/mini-diet-cut-cones/","<h3>Diet Ice Cream Cups</h3>
<hr>
<p>Packing Details<br>
1x60cs. / box <br>
1x60pcs. x 20 / carton
</p>","Ice Cream Biscuits",""
"","283","K-014","Mini Cut Cones","http://staging.kanolli.com/product/mini-cut-cones/","<h3>Mini Cut Cones</h3>
<hr>
<p>Packing Details<br>
1x60pcs. / box <br>
1x60pcs. x 20 / carton
</p>","Ice Cream Biscuits",""
"","280","K-013","Circle Cone","http://staging.kanolli.com/product/circle-cone/","<h3>Circle Cone</h3>
<hr>
<p>Packing Details<br>
1x10pcs. / box  <br>
1x10pcs. x 20 / carton
</p>","Ice Cream Biscuits",""
"","276","K-011","Banana Split Cone","http://staging.kanolli.com/product/banana-split-cone/","<h3>Banana Split Cone</h3>
<hr>
<p>Packing Details<br>
1x10pcs. / box <br>
1x10pcs. x 20 / carton
</p>","Ice Cream Biscuits",""
"","272","K-010","Diet Ice Cream Cups","http://staging.kanolli.com/product/diet-ice-cream-cups/","<h3>Diet Ice Cream Cups</h3>
<hr>
<p>Packing Details<br>
1x15pcs. / box / 71 gms. <br>
1x15pcs. x 20 / carton
</p>","Ice Cream Biscuits",""
"","268","K-009","Mini Sugar Cones","http://staging.kanolli.com/product/mini-sugar-cones/","<h3>Mini Sugar Cones</h3>
<hr>
<p>Packing Details<br>
1x60pcs. / box / 220 gms. <br>
1x60pcs. x 20 / carton
</p>","Ice Cream Biscuits",""
"","264","K-008","Sugar Bowls","http://staging.kanolli.com/product/sugar-bowls/","<h3>Sugar Bowls</h3>
<hr>
<p>Packing Details<br>
1x12pcs. / box / 259 gms. <br>
1x12pcs. x 20 / carton
</p>","Ice Cream Biscuits",""
"","259","K-007","Sugar Sticks","http://staging.kanolli.com/product/259/","<h3>Sugar Sticks</h3>
<hr>
<p>Packing Details<br>
1x12pcs. / box / 153 gms. <br>
1x12pcs. x 20 / carton
</p>","Ice Cream Biscuits",""
"","255","K-006","Regular Mini Cones","http://staging.kanolli.com/product/regular-mini-cones/","<h3>Regular Mini Cones</h3>
<hr>
<p>Packing Details<br>
1x100pcs. / box / 98 gms. <br>
1x100pcs. x 20 / carton
</p>","Ice Cream Biscuits",""
"","249","K-004","Big Biscuit Cones","http://staging.kanolli.com/product/big-biscuit-cones/","<h3>Big Biscuit Cones</h3>
<hr>
<p>Packing Details<br>
1x12pcs. / box / 172 gms. <br>
1x12pcs. x 20 / carton
</p>","Ice Cream Biscuits",""
"","245","K-003","Biscuit Cones","http://staging.kanolli.com/product/biscuit-cones/","<h3>Biscuit Cones</h3>
<hr>
<p>Packing Details<br>
1x32pcs. / box / 105 gms. <br>
1x32pcs. x 20 / carton
</p>","Ice Cream Biscuits",""
"","237","K-002","Ice Cream Cups","http://staging.kanolli.com/product/ice-cream-cups/","<h3>Ice Cream Cups</h3>
<hr>
<p>Packing Details<br>
1x21pcs. / box / 87 gms. <br>
1x21pcs. x 20 / carton
</p>","Ice Cream Biscuits",""
"","235","K-001","Sugar Cones","http://staging.kanolli.com/product/sugar-cones/","<a href=""http://staging.kanolli.com/wp-content/uploads/2015/12/SUGAR-Cones.jpg"" rel=""attachment wp-att-221""><img src=""http://staging.kanolli.com/wp-content/uploads/2015/12/SUGAR-Cones-197x300.jpg"" alt=""SUGAR Cones"" width=""197"" height=""300"" class=""alignnone size-medium wp-image-221"" /></a><br>
<h3>Sugar Cones</h3>
<hr>
<p>Packing Details<br>
1x12pcs. / box / 172 gms. <br>
1x12pcs. x 20 / carton
</p>","Ice Cream Biscuits",""
